0000.002 (0) Opened log file at time: Wed, 14 Feb 2024 14:16:36 +0000 on http://localhost/progetti%20settimanali/ProgettoSett2DB/wordpress
0000.006 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.23.16 WP: 6.4.3 PHP: 8.2.12 (apache2handler, Windows NT DESKTOP-RRNO7O4 10.0 build 19045 (Windows 10) AMD64) MySQL: 10.4.32-MariaDB (max packet size=1048576) WPLANG: it_IT Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 80.1M | 82M) multisite: N openssl: OpenSSL 3.0.11 19 Sep 2023 mcrypt: N LANG:  ZipArchive::addFile: N
0000.010 (0) Free space on disk containing Updraft's temporary directory: 35463.8 MB
0000.019 (0) Tasks: Backup files: 1 (schedule: unset) Backup DB: 1 (schedule: unset)
0000.025 (0) Semaphore (fd, wp_options) being initialised
0000.042 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.053 (0) Set semaphore last lock (fd) time to 2024-02-14 14:16:36
0000.056 (0) Semaphore lock (fd) complete
0000.069 (0) Backup run: resumption=0, nonce=d78509012db3, file_nonce=d78509012db3 begun at=1707920196 (0s ago), job type=backup
0000.076 (0) Scheduling a resumption (1) after 300 seconds (1707920496) in case this run gets aborted
0000.107 (0) Checking if we have a zip executable available
0000.115 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.119 (0) Creation of backups of directories: beginning
0000.137 (0) Beginning creation of dump of plugins (split every: 400 MB)
0024.494 (0) Total entities for the zip file: 1776 directories, 10397 files (0 skipped as non-modified), 134.1 MB
0024.499 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 137271.9 KB, split: 409600 KB)
0024.687 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0024.869 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0025.057 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0025.284 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0025.476 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0025.681 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0025.848 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0025.997 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0026.203 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0026.396 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0026.602 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0026.809 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0026.965 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
0027.163 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1400 files added (on-disk size: 0 KB)
0027.359 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1500 files added (on-disk size: 0 KB)
0027.555 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1600 files added (on-disk size: 0 KB)
0027.755 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1700 files added (on-disk size: 0 KB)
0027.885 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1800 files added (on-disk size: 0 KB)
0028.016 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 1900 files added (on-disk size: 0 KB)
0028.255 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2000 files added (on-disk size: 0 KB)
0028.410 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2100 files added (on-disk size: 0 KB)
0028.562 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2200 files added (on-disk size: 0 KB)
0028.741 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2300 files added (on-disk size: 0 KB)
0028.912 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2400 files added (on-disk size: 0 KB)
0029.062 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2500 files added (on-disk size: 0 KB)
0029.229 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2600 files added (on-disk size: 0 KB)
0029.381 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2700 files added (on-disk size: 0 KB)
0029.538 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2800 files added (on-disk size: 0 KB)
0029.689 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 2900 files added (on-disk size: 0 KB)
0029.869 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 3000 files added (on-disk size: 0 KB)
0030.022 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 3100 files added (on-disk size: 0 KB)
0030.176 (0) Zip: backup_2024-02-14-1516_Dynamic_Body_Gym_d78509012db3-plugins.zip.tmp: 3200 files added (on-disk size: 0 KB)
